Date,Close,High,Low,Open,Volume
,SPY,SPY,SPY,SPY,SPY
2020-01-02,296.8882141113281,296.90650931546975,294.7497669040605,295.6727822642302,59151200
2020-01-03,294.6400146484375,295.7640816777263,293.44285049264414,293.49768030977805,77709700
2020-01-06,295.76416015625,295.8464049037738,292.76664728278183,292.8854545477704,55653900
2020-01-07,294.9325256347656,295.67275622250656,294.4847115081981,295.19752718117184,40496400
2020-01-08,296.50439453125,297.7198263343244,294.87771109631456,295.12444534201336,68296000
2020-01-09,298.5148620605469,298.5879870903448,297.48218715461246,298.0670758368869,48473300
2020-01-10,297.65582275390625,299.2550911321721,297.1897692196359,299.09974925042434,53029300
2020-01-13,299.702880859375,299.7120005705417,297.8477308070792,298.2772496807154,47086800
2020-01-14,299.2459716796875,300.31518120708546,298.6884979136288,299.264238992548,62832800
2020-01-15,299.9222106933594,300.6807085322573,299.07232051640693,299.1545652539482,72056600
2020-01-16,302.4170837402344,302.4170837402344,301.07369722923175,301.3021641332184,54050300
2020-01-17,303.3583679199219,303.56853962375646,302.3531079591049,303.12990101469194,95846000
2020-01-21,302.764404296875,303.56861245848097,302.32576558256864,302.3988627386086,77742400
2020-01-22,302.8009338378906,304.2722754026212,302.64559193983825,303.62340922666306,48914900
2020-01-23,303.14825439453125,303.5595060963151,301.03722182198095,302.15214175160344,51963000
2020-01-24,300.4523010253906,303.88845281451574,299.1637441044687,303.80620806071624,87578400
2020-01-27,295.63623046875,297.1166918283268,294.86858487078547,295.20671149130214,84062500
2020-01-28,298.73419189453125,299.61149697791484,295.72755969424713,297.0617985757093,63834000
2020-01-29,298.4874267578125,300.32430953188833,298.2863747731424,300.0958426351734,53888900
2020-01-30,299.4561767578125,299.6663763797536,295.6727787860852,296.42212914324796,75491800
2020-01-31,294.0186767578125,298.9901194730198,293.1048090217675,298.8347496867189,113845600
2020-02-03,296.2027587890625,298.067056481467,295.3802835359217,295.499090784858,69083000
2020-02-04,300.71728515625,301.5854705749679,299.4927058581297,299.81256511181664,62573200
2020-02-05,304.19000244140625,304.4002020615823,302.1886577494263,303.65082382168174,65951100
2020-02-06,305.2135314941406,305.40543589404376,304.1351464583818,305.14955406449695,50359700
2020-02-07,303.58685302734375,305.222656086769,303.03852684411055,304.15344652404104,64139400
2020-02-10,305.8532409667969,305.91721840038207,302.6638515575527,302.700414075177,42070000
2020-02-11,306.3832702636719,307.99165832638704,305.8532114209266,307.2057455520756,54864500
2020-02-12,308.3572692871094,308.5674410211826,307.4525212476893,307.81806277084456,43992700
2020-02-13,308.02825927734375,308.9969568539677,306.6574576626084,306.93160682994335,54501900
2020-02-14,308.5216979980469,308.6405052446944,307.2422889745831,308.4394532632197,64582200
2020-02-18,307.7265930175781,308.5856306420383,306.3374966602275,307.52554106527845,57226200
2020-02-19,309.19805908203125,309.8743123972908,308.41214608203063,308.6954428972899,48814700
2020-02-20,307.9277038574219,309.4721423570291,304.9393389090685,308.64963919276863,74163400
2020-02-21,304.756591796875,306.8858911350751,303.93408860649663,306.5751794829659,113788200
2020-02-24,294.6492004394531,304.82967088286625,293.5708154883239,295.3071862193686,161088400
2020-02-25,285.7207336425781,296.6505836333486,284.8434284508616,296.0383078861717,218913200
2020-02-26,284.6696472167969,290.7102963279927,283.9385645753774,287.1188047434686,194773800
2020-02-27,271.8848571777344,284.7246904574602,271.8848571777344,279.1500904984733,284353500
2020-02-28,270.7424011230469,272.2320096468705,260.9457401669116,263.83356488451,384975800
2020-03-02,282.46734619140625,282.53132361972916,269.0974581232793,272.5244617816566,238703600
2020-03-03,274.379638671875,286.8082453931347,271.9396274475978,282.84206278668677,300139100
2020-03-04,285.91265869140625,286.1320059219411,277.20349991147214,279.75319881257633,176613400
2020-03-05,276.40838623046875,281.9007394258582,274.1694273459628,278.71135042930734,186366800
2020-03-06,271.839111328125,273.0454235323544,265.2318649017043,267.90034329272197,228667200
2020-03-09,250.6099395751953,259.71205370103047,249.8971239127328,251.58775678015627,309417300
2020-03-10,263.57769775390625,263.6690622000133,249.94278128953638,260.12327944250404,276444100
2020-03-11,250.7286834716797,257.65581500361225,247.54844229941548,256.5226281848996,255316300
2020-03-12,226.73971557617188,243.69196419793585,226.34674521407393,233.95013117048154,392220700
2020-03-13,246.12286376953125,248.09682141327602,227.1144121941133,240.4294577708272,329566100
2020-03-16,219.19114685058594,234.7725780910604,216.91561153342053,220.4065784730682,297240000
2020-03-17,231.02572631835938,234.1054695359692,216.65059323263955,223.93410499439116,262070500
2020-03-18,219.32827758789062,226.9773468065231,208.38014496942634,215.90127325057983,327597100
2020-03-19,219.79429626464844,226.07257629627384,212.21833983048688,218.6428280834812,289322000
2020-03-20,210.3224334716797,224.72694441324552,210.04665824854578,222.94361386702494,347158800
2020-03-23,204.9449005126953,211.13139220908926,200.63365540430698,209.76173127825837,326025200
2020-03-24,223.5135498046875,224.3868403910806,214.91865078430803,215.48857598678674,235494500
2020-03-25,226.8595733642578,235.64753271475618,220.3881202388159,225.09463160277366,299430300
2020-03-26,240.10585021972656,241.57661392737845,228.93705947674567,229.36910403044877,257632800
2020-03-27,232.9541778564453,239.74737193984004,230.77558000293203,232.8162972428731,224341200
2020-03-30,240.51954650878906,241.23655379734308,233.05530959383546,235.050062078814,171369500
2020-03-31,236.9344940185547,242.0638491887975,235.52805566114748,239.5175603608972,194881100
2020-04-01,226.2712860107422,236.85176448420262,224.20299266868236,227.9534996121323,189554600
2020-04-02,231.49261474609375,232.2739616933411,224.8373004856705,225.38885105850346,177660400
2020-04-03,228.1465301513672,232.86224312191504,225.41638201331432,230.50897330571124,135561200
2020-04-06,243.47027587890625,245.43746603844804,228.12814793015815,237.01721102821946,188061200
2020-04-07,243.71847534179688,252.81895953411126,243.49786638414741,252.06517485811415,201427200
2020-04-08,251.89976501464844,253.7106720203933,243.82882519351205,246.31996198060406,153774500
2020-04-09,255.73301696777344,258.49074168826115,253.22347737304005,255.1630636276637,189999200
2020-04-13,253.39805603027344,255.0986580184009,249.49128056839425,254.75854323137895,114839100
2020-04-14,260.87158203125,261.89192674380104,253.260262690421,258.2885153744186,134143400
2020-04-15,255.32847595214844,261.0093805310118,253.21420410146158,255.15381785852156,121775000
2020-04-16,256.5602111816406,257.41509872043673,253.4899490997498,256.60616201804373,131798300
2020-04-17,263.49139404296875,264.09806873944035,259.59379105102954,262.3331407891114,146684800
2020-04-20,258.8492126464844,263.6292797051415,258.6286036617239,259.786828884741,100109300
2020-04-21,250.98968505859375,255.5858921565235,250.05204085668208,254.38168814110765,126385700
2020-04-22,256.5602111816406,258.30676376016356,254.54707081414418,255.87078031751207,92951600
2020-04-23,256.54180908203125,261.00933568094723,256.2384718443398,257.83794247637684,104709700
2020-04-24,260.1177673339844,260.78882372538203,256.00875672334155,258.0586753592096,85063200
2020-04-27,263.8682861328125,264.98976199024764,261.634535810774,262.0941566039355,77896600
2020-04-28,262.6548156738281,267.866897915382,262.3514503479287,267.5175817476273,105270000
2020-04-29,269.5307922363281,271.06593788395355,266.9569272587203,267.98647324976343,118745600
2020-04-30,267.0212707519531,269.63191314520935,265.2838909183048,268.1519197995434,122901700
2020-05-01,259.9522705078125,267.1866954796315,258.78481603360234,262.2687486221893,125180000
2020-05-04,260.6692810058594,260.97261831344605,256.58784709475344,258.06781222922524,80873200
2020-05-05,263.0777282714844,265.8906050294555,260.7979992424974,263.4913981694902,79569900
2020-05-06,261.2943420410156,265.1643400964349,260.86229750373474,264.77827445640764,73632600
2020-05-07,264.4473571777344,266.3777697134358,263.9417856328459,264.51171080796263,75250400
2020-05-08,268.822998046875,269.2918202089729,266.4513391653479,267.5820163579853,76452400
2020-05-11,268.87823486328125,270.25709760616985,266.46982576085463,266.8926691471575,79514200
2020-05-12,263.51898193359375,270.4776190002841,263.3810732615767,270.0639771433086,95870800
2020-05-13,258.8583679199219,263.9969236633219,256.43155730782263,262.95817645676516,144721100
2020-05-14,261.95623779296875,262.08491700872327,250.94371509495167,256.4224143490226,121977900
2020-05-15,263.160400390625,263.2063512347929,258.61934608730513,259.5661635119153,111146300
2020-05-18,271.17620849609375,272.78488091937567,269.0619645324173,269.383676574657,119703800
2020-05-19,268.3908996582031,272.28847402813193,268.3725249301823,270.57869857253786,95189300
2020-05-20,272.95025634765625,273.81434523620925,271.7001019021828,271.92991217992534,85861700
2020-05-21,271.06591796875,273.63060941899073,269.97201842037936,272.82167247031106,78293900
2020-05-22,271.5806579589844,271.75531605411203,269.53994110545716,270.78092249867296,63958200
2020-05-26,274.9267272949219,277.7855828624157,271.59907765243577,277.5465711025609,88951400
2020-05-27,279.01727294921875,279.0540504510923,272.8951233524511,277.7211395250684,104817400
2020-05-28,278.50262451171875,282.06008496206584,277.8315680546583,280.04694364391133,90405200
2020-05-29,279.7435607910156,280.3318607230198,275.28523421175083,278.03375713092686,119090800
2020-06-01,280.8741455078125,281.4808480836038,278.5852438310212,279.1000166735685,55758300
2020-06-02,283.19989013671875,283.2458690404746,280.46056860288843,281.7934518574034,74267200
2020-06-03,286.96875,287.92476883249293,284.909658409725,285.18541958591584,92567600
2020-06-04,286.2149658203125,287.7225350605196,284.1190967189892,285.98515548879453,75794400
2020-06-05,293.5505676269531,295.324696931107,291.5466279553278,291.6109815909454,150524700
2020-06-08,297.098876953125,297.2919098216804,293.81717792255563,294.3595270647997,73641200
2020-06-09,294.88348388671875,297.17238620785696,293.5689472426089,294.43303648292283,77479200
2020-06-10,293.2380065917969,296.3542484031599,292.5209994219378,295.462583123064,95000800
2020-06-11,276.3331604003906,286.94121464894255,275.7816379696527,286.306935800571,209243600
2020-06-12,279.64239501953125,284.11909577413104,274.4854646628665,283.34693642916073,194678900
2020-06-15,282.2530517578125,283.38372874328377,272.7756754665918,273.95230329940716,135782700
2020-06-16,287.685791015625,290.14937937635153,282.82302403325144,290.0022973807095,137627500
2020-06-17,286.49078369140625,289.0003228615567,285.75537372521586,288.7061588750805,83398900
2020-06-18,286.60113525390625,287.0791307706854,284.5144669914152,284.9740877759043,80828700
2020-06-19,284.9631652832031,290.26282089573067,283.01501607269654,290.0689386157883,135549600
2020-06-22,286.7912902832031,287.18829677421513,283.2181755111513,284.36304192298934,74649400
2020-06-23,288.111572265625,290.3736357062622,287.70532390749855,289.4411072237713,68471200
2020-06-24,280.7622375488281,286.6897503140339,278.92490610868884,286.0711358531049,132813500
2020-06-25,283.772216796875,284.03997787072643,278.16785889819096,280.18985933823365,89468000
2020-06-26,277.0321350097656,282.88579689027085,276.45048811590635,282.67343082724625,127961000
2020-06-29,281.1038513183594,281.24233868339707,275.9980771665016,278.2878382488589,79773300
2020-06-30,284.7046203613281,286.40349236880866,280.51291980961736,280.66986274061657,113394800
2020-07-01,286.6989440917969,287.9638703985175,285.3601954313995,285.8218387301167,72396500
2020-07-02,288.2778625488281,291.4816690368275,287.6130948915451,290.1336499523645,69344200
2020-07-06,292.7279357910156,293.3096107192115,291.3522480999561,292.10010781436097,61713800
2020-07-07,289.7088317871094,293.16191422037843,289.33028094753945,291.18609579662257,82910000
2020-07-08,291.9247131347656,292.0355030043778,288.7116942101427,290.4751465955823,54638600
2020-07-09,290.26300048828125,292.77434250555547,286.8468269773212,292.53427884516236,83354200
2020-07-10,293.22662353515625,293.49438457109676,288.7671611130503,290.19824424631554,57550400
2020-07-13,290.68756103515625,297.95382235069326,290.03203541314804,295.57175522796825,102997500
2020-07-14,294.4546203613281,295.23017784397115,288.06546370459,289.2657251994357,93657000
2020-07-15,297.1597595214844,298.2584726879043,294.77766462187236,297.6767976966858,87196500
2020-07-16,296.1811218261719,296.6335232521369,294.61152330631586,295.2578352089557,54622500
2020-07-17,297.0398254394531,297.8246248415815,295.21170746259276,297.18755470615184,62774900
2020-07-20,299.4403381347656,300.18819807974637,296.02416620162734,296.7720261466081,56308800
2020-07-21,300.0774230957031,301.8501178028075,299.08949955212785,301.40695821426857,57292200
2020-07-22,301.78546142578125,302.09940368262994,299.6065184526506,299.7173083426101,57792900
2020-07-23,298.18463134765625,302.1270831480681,296.8181852176336,301.42537631818345,75738000
2020-07-24,296.26422119140625,297.2890558358542,294.75925946179956,296.328858018481,73766600
2020-07-27,298.42474365234375,298.6001703884858,296.16267985039116,296.95672110500396,48293000
2020-07-28,296.5319519042969,298.81247079634437,296.2364934476947,297.6952737904054,57495000
2020-07-29,300.1789245605469,300.74214401894255,297.37212550366144,297.40906485580297,48454200
2020-07-30,299.10791015625,299.5234003844888,295.11933357691976,297.2059420708996,61861700
2020-07-31,301.47161865234375,301.57319485981407,296.67975754287016,300.8991853011738,84986800
2020-08-03,303.5675048828125,304.3338206049476,302.58882303214364,303.1335589168382,53077900
